Time	Event	Details
2024-10-11 14:11:15	Mouse Move	Significant Movement to (1068, 597)
2024-10-11 14:11:15	Mouse Click	Button Button.left at (1038, 603)
2024-10-11 14:11:15	Mouse Release	Button Button.left at (1038, 603)
2024-10-11 14:11:16	Mouse Move	Significant Movement to (848, 307)
2024-10-11 14:11:16	Mouse Move	Significant Movement to (335, 40)
2024-10-11 14:11:16	Mouse Click	Button Button.left at (365, 31)
2024-10-11 14:11:16	Mouse Release	Button Button.left at (365, 31)
2024-10-11 14:11:17	Mouse Move	Significant Movement to (847, 261)
2024-10-11 14:11:17	Mouse Move	Significant Movement to (1131, 549)
2024-10-11 14:11:17	Mouse Move	Significant Movement to (1290, 839)
2024-10-11 14:11:17	Mouse Move	Significant Movement to (1416, 1128)
2024-10-11 14:11:18	Mouse Move	Significant Movement to (1565, 1416)
2024-10-11 14:11:19	Mouse Click	Button Button.left at (1552, 1409)
2024-10-11 14:11:19	Mouse Release	Button Button.left at (1552, 1411)
2024-10-11 14:11:19	Mouse Move	Significant Movement to (1439, 1126)
2024-10-11 14:11:19	Mouse Move	Significant Movement to (1158, 834)
2024-10-11 14:11:19	Mouse Move	Significant Movement to (873, 546)
2024-10-11 14:11:20	Mouse Move	Significant Movement to (361, 361)
2024-10-11 14:11:21	Mouse Click	Button Button.left at (372, 341)
2024-10-11 14:11:21	Mouse Release	Button Button.left at (372, 341)
